"","building_id","geo_level_1_id","geo_level_2_id","geo_level_3_id","count_floors_pre_eq","age","area","height","land_surface_condition","foundation_type","roof_type","ground_floor_type","other_floor_type","position","plan_configuration","has_superstructure_adobe_mud","has_superstructure_mud_mortar_stone","has_superstructure_stone_flag","has_superstructure_cement_mortar_stone","has_superstructure_mud_mortar_brick","has_superstructure_cement_mortar_brick","has_superstructure_timber","has_superstructure_bamboo","has_superstructure_rc_non_engineered","has_superstructure_rc_engineered","has_superstructure_other","legal_ownership_status","count_families","has_secondary_use","has_secondary_use_agriculture","has_secondary_use_hotel","has_secondary_use_rental","has_secondary_use_institution","has_secondary_use_school","has_secondary_use_industry","has_secondary_use_health_post","has_secondary_use_gov_office","has_secondary_use_use_police","has_secondary_use_other","damage_grade"
"11",16051,22,917,8258,2,20,79,5,"d502","337f","7e76","b1b4","9eb0","3356","a779",1,1,1,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"12",18925,21,128,4403,2,10,34,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"13",409,0,217,2964,3,50,35,6,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"14",13530,0,457,3793,2,15,39,7,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"15",10206,2,22,480,3,10,28,8,"d502","337f","e0e2","b440","9eb0","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"16",18347,3,265,220,3,80,39,6,"d502","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"17",15616,1,23,283,2,15,14,4,"2f15","858b","7e76","b440","9eb0","3356","a779",0,0,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"18",473,0,51,532,2,15,39,4,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"19",19430,0,137,2589,2,30,29,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",0,1,1,0,0,0,0,0,0,0,0,0,2
"20",8237,26,623,4366,3,35,35,6,"2f15","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"21",13064,7,596,6203,1,25,28,1,"d502","337f","7e76","b1b4","441a","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"22",7001,3,194,935,2,5,30,4,"808e","337f","7e76","b1b4","9eb0","3356","a779",1,1,0,0,1,0,1,0,0,0,0,"c8e1",0,0,0,0,0,0,0,0,0,0,0,0,3
"23",337,0,601,8217,2,30,36,5,"808e","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"24",19578,0,520,3038,2,10,40,5,"808e","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"25",8925,5,119,601,3,20,93,7,"d502","337f","7e76","b440","f962","bfba","84cf",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"26",11868,0,203,488,3,40,60,9,"808e","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"27",15065,3,126,2818,2,0,45,6,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"28",9145,2,255,1940,2,0,32,5,"808e","337f","7e76","b1b4","9eb0","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"29",15691,10,276,1658,2,5,30,3,"d502","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"30",14111,10,724,6771,2,35,53,3,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"31",895,2,174,1903,3,35,27,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"32",7852,12,13,156,3,5,112,9,"d502","6c3e","7e76","b1b4","f962","bfba","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"33",13318,5,370,5334,3,5,26,6,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"34",9244,6,1,7,1,0,70,3,"d502","6c3e","7e76","467b","441a","3356","8e3f",0,0,0,0,0,1,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"35",16027,9,9,139,3,20,27,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"36",463,16,97,1005,2,45,28,5,"d502","337f","7e76","b440","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"37",10024,1,409,3598,1,5,18,1,"808e","337f","7e76","b1b4","441a","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"38",11951,0,203,3086,2,15,48,6,"2f15","337f","e0e2","b1b4","9eb0","bfba","a779",1,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"39",8038,5,408,2115,3,20,31,6,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"40",17325,14,651,5249,2,10,34,5,"808e","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"41",8169,2,59,1021,2,20,18,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"42",9240,0,39,1680,3,10,21,5,"d502","337f","7e76","b1b4","9eb0","bcab","a779",1,0,0,0,1,0,0,0,0,0,0,"c8e1",0,1,1,0,0,0,0,0,0,0,0,0,2
"43",13002,16,198,7919,2,15,42,5,"d502","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"44",6289,4,182,1423,2,50,31,4,"d502","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"45",15155,5,130,1592,2,30,41,5,"808e","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"46",2597,0,7,663,3,90,31,6,"d502","337f","7e76","b1b4","9eb0","bcab","a779",1,0,0,0,1,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"47",7556,7,362,1766,2,30,28,4,"d502","337f","7e76","b1b4","f962","3356","a779",1,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"48",7224,0,34,309,2,20,35,5,"808e","337f","7e76","b1b4","f962","bfba","a779",1,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"49",8105,12,3,76,4,5,65,11,"d502","467b","67f9","467b","67f9","bcab","a779",0,0,0,0,0,0,0,0,0,1,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"50",6552,4,627,5975,2,15,26,4,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"51",11558,12,12,177,4,25,31,10,"d502","337f","7e76","b1b4","9eb0","bfba","a779",1,0,0,0,1,0,0,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"52",11874,12,13,296,3,50,72,7,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"53",3063,17,151,5038,1,10,32,3,"d502","6c3e","7e76","467b","441a","3356","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"54",18692,8,199,1805,2,15,28,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"55",12875,13,95,611,2,15,63,5,"2f15","337f","7e76","b440","f962","3356","a779",0,1,0,1,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"56",7023,4,154,2488,2,10,31,3,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"57",9094,1,68,392,2,60,42,9,"d502","337f","7e76","b440","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"58",8317,6,650,7405,2,20,30,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"59",1762,11,21,965,4,40,56,7,"d502","337f","7e76","b1b4","f962","bcab","a779",0,0,0,0,1,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"60",17719,5,453,4845,3,25,26,5,"808e","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"61",17537,6,98,1435,1,0,18,3,"808e","858b","7e76","b440","441a","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"62",4872,2,326,3769,2,5,19,3,"d502","337f","7e76","b440","9eb0","bfba","a779",0,1,1,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"63",19238,18,931,8916,2,30,101,5,"d502","337f","7e76","b440","9eb0","3356","a779",1,1,0,0,1,0,1,1,0,0,1,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"64",19733,4,364,3069,2,10,46,6,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"65",13931,8,81,1256,2,15,19,3,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"66",13749,1,33,51,1,0,32,3,"d502","6c3e","67f9","467b","441a","3356","a779",0,0,0,0,0,1,0,0,1,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"67",14441,0,16,116,2,0,32,5,"d502","467b","67f9","467b","67f9","bcab","a779",0,0,0,0,0,1,0,0,0,1,0,"c8e1",0,0,0,0,0,0,0,0,0,0,0,0,1
"68",18899,6,569,2335,2,5,35,6,"d502","858b","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"69",13663,26,1055,9663,2,25,36,4,"d502","337f","e0e2","b1b4","9eb0","3356","a779",1,1,1,0,0,0,1,1,0,0,1,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"70",1410,4,414,7441,2,25,42,3,"808e","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"71",9968,7,178,1769,3,100,27,7,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"72",5710,3,315,2231,2,15,40,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"73",6698,5,78,251,2,20,37,3,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"74",5199,0,258,761,2,25,22,6,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"75",12905,8,233,813,3,80,44,6,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"76",10867,9,29,516,3,30,60,8,"d502","337f","7e76","b1b4","f962","3356","a779",1,0,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"77",9821,9,29,1063,2,10,32,4,"d502","337f","7e76","b1b4","f962","bfba","a779",1,0,0,0,0,0,0,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"78",5776,6,1,137,2,10,42,5,"d502","337f","e0e2","b1b4","9eb0","bfba","a779",0,0,0,0,0,0,0,0,1,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"79",19130,2,102,888,3,30,27,5,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"80",13222,13,385,1409,1,5,42,2,"d502","6c3e","7e76","b1b4","441a","3356","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"81",6442,1,525,5033,2,15,39,3,"d502","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"82",15132,1,0,6,1,0,32,2,"d502","6c3e","e0e2","467b","441a","3356","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"83",11065,4,170,1276,1,0,42,3,"d502","337f","7e76","b1b4","441a","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"84",7445,7,140,527,2,15,45,3,"d502","337f","e0e2","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,3
"85",4004,3,209,4430,2,30,31,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"86",3304,18,907,8108,2,35,32,5,"808e","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,1,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"87",15544,5,413,2821,2,10,14,4,"d502","337f","7e76","b1b4","9eb0","3356","84cf",1,0,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"88",1515,0,214,1160,2,35,60,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"89",5420,1,0,24,3,15,75,10,"d502","467b","67f9","467b","67f9","1787","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"90",12675,4,227,354,2,20,41,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"91",15315,11,771,6610,2,30,42,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"92",3092,11,10,1048,4,80,32,7,"d502","337f","7e76","b1b4","f962","1787","8e3f",1,0,0,0,1,0,1,0,0,0,0,"c8e1",2,0,0,0,0,0,0,0,0,0,0,0,3
"93",18057,2,46,2177,2,20,18,5,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"94",15794,0,329,5353,2,70,33,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"95",17080,2,175,783,2,10,23,5,"d502","337f","e0e2","b440","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"96",5526,1,0,16,1,20,56,2,"d502","337f","7e76","b1b4","441a","3356","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"97",12026,5,303,1821,2,0,37,6,"808e","337f","7e76","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"98",8179,5,87,607,3,20,23,5,"808e","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"99",7000,4,132,1243,2,50,32,4,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"100",19754,7,114,826,2,10,37,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"101",17714,0,156,1983,2,15,40,5,"2f15","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"102",16930,5,339,2477,3,10,46,6,"808e","337f","7e76","b1b4","9eb0","bfba","a779",0,1,1,0,0,0,0,0,0,0,1,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"103",11497,1,32,65,2,10,17,3,"d502","858b","e0e2","b1b4","f962","3356","a779",0,0,0,0,0,0,1,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"104",9838,3,72,240,2,100,21,6,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"105",11685,4,210,1980,3,50,26,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"106",13666,4,389,1051,2,30,27,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"107",6392,3,384,1233,2,5,70,4,"d502","337f","e0e2","b440","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"108",3668,19,177,1892,2,15,41,7,"d502","337f","7e76","b440","f962","3356","8e3f",0,1,0,0,0,0,0,0,1,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"109",5250,3,209,4430,2,50,31,4,"d502","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"110",17603,17,854,7314,1,15,24,1,"d502","337f","7e76","b1b4","441a","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"111",6592,10,354,1562,2,15,33,4,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"112",4463,16,829,10245,2,35,80,3,"808e","337f","e0e2","b1b4","9eb0","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,1
"113",11489,5,412,4715,2,15,49,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"114",14815,8,618,3171,2,0,45,5,"d502","337f","e0e2","b1b4","9eb0","3356","a779",0,1,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"115",19576,12,3,97,5,75,6,12,"d502","6c3e","7e76","b440","67f9","1787","a779",0,0,0,0,0,1,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"116",19259,27,343,2192,2,20,33,5,"d502","337f","7e76","b1b4","f962","bfba","a779",1,0,0,0,0,0,0,0,0,0,0,"c8e1",0,0,0,0,0,0,0,0,0,0,0,0,2
"117",10494,0,297,2371,3,0,31,6,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"118",7631,14,777,7329,2,5,74,4,"d502","6c3e","7e76","467b","67f9","3356","a779",0,0,0,1,0,0,0,0,0,0,0,"c8e1",1,1,0,0,0,0,0,1,0,0,0,0,1
"119",3431,11,96,325,3,40,69,7,"d502","337f","e0e2","b440","f962","bfba","a779",1,0,0,0,0,0,1,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,3
"120",5751,4,334,3180,2,10,24,3,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"121",11212,6,1,69,2,10,28,5,"d502","858b","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,1,0,0,0,0,"c8e1",1,1,1,0,0,0,0,0,0,0,0,0,2
"122",11714,5,6,19,2,5,32,5,"d502","337f","7e76","b1b4","9eb0","bcab","a779",1,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"123",3740,4,155,4348,2,60,26,5,"d502","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"124",11468,0,105,571,2,30,45,7,"808e","337f","7e76","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"ab03",1,0,0,0,0,0,0,0,0,0,0,0,2
"125",3382,6,1,172,1,0,31,3,"808e","858b","e0e2","b1b4","441a","3356","a779",0,0,0,0,0,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"126",13067,7,184,2598,2,30,21,4,"d502","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"ab03",1,0,0,0,0,0,0,0,0,0,0,0,2
"127",3743,3,86,332,3,10,24,6,"d502","337f","7e76","b1b4","9eb0","bfba","a779",1,0,0,0,0,0,1,1,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,3
"128",2959,2,204,720,2,20,19,4,"d502","337f","7e76","b1b4","f962","bfba","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",0,0,0,0,0,0,0,0,0,0,0,0,2
"129",16168,6,160,150,2,10,46,4,"d502","858b","e0e2","b1b4","f962","3356","a779",0,0,0,0,1,0,1,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
"130",5989,6,141,1855,2,15,43,6,"d502","858b","7e76","b1b4","f962","3356","a779",0,0,0,0,0,0,1,1,0,0,0,"c8e1",0,0,0,0,0,0,0,0,0,0,0,0,2
"131",17567,28,921,11659,2,20,67,4,"d502","337f","e0e2","b1b4","f962","3356","a779",0,1,0,0,0,0,0,0,0,0,0,"c8e1",1,0,0,0,0,0,0,0,0,0,0,0,2
